Strain	Strain_2	Condition	Line	Generation	Replicate	Temperature	Highlight	Species	Rate	OD	Rate_fitness	OD_fitness	Line.1	Strain_3
SJ1-4	1	Control	SJ1-4_Control	250	2	Control	SJ-1	SJ	0.104	1.128	-0.031	0.055	4	1_Control
SJ1-4	1	Control	SJ1-4_Control	250	3	Control	SJ-1	SJ	0.107	1.179	-0.028	0.106	4	1_Control
SJ2-1	2	Control	SJ2-1_Control	250	1	Control	SJ-2	SJ	0.136	1.211	0.01	0.147	1	2_Control
SJ2-1	2	Control	SJ2-1_Control	250	2	Control	SJ-2	SJ	0.132	1.072	0.006	0.007	1	2_Control
SJ2-1	2	Control	SJ2-1_Control	250	3	Control	SJ-2	SJ	0.131	1.036	0.005	-0.028	1	2_Control
SJ2-2	2	Control	SJ2-2_Control	250	1	Control	SJ-2	SJ	0.134	1.095	0.008	0.03	2	2_Control
SJ2-2	2	Control	SJ2-2_Control	250	2	Control	SJ-2	SJ	0.128	1.162	0.002	0.098	2	2_Control
SJ2-2	2	Control	SJ2-2_Control	250	3	Control	SJ-2	SJ	0.137	1.069	0.011	0.005	2	2_Control
SJ2-3	2	Control	SJ2-3_Control	250	1	Control	SJ-2	SJ	0.143	1.108	0.017	0.044	3	2_Control
SJ2-3	2	Control	SJ2-3_Control	250	2	Control	SJ-2	SJ	0.128	1.073	0.002	0.008	3	2_Control
SJ2-3	2	Control	SJ2-3_Control	250	3	Control	SJ-2	SJ	0.128	1.105	0.002	0.041	3	2_Control
SJ2-4	2	Control	SJ2-4_Control	250	1	Control	SJ-2	SJ	0.12	0.877	-0.006	-0.187	4	2_Control
SJ2-4	2	Control	SJ2-4_Control	250	2	Control	SJ-2	SJ	0.126	1.083	0	0.019	4	2_Control
SJ2-4	2	Control	SJ2-4_Control	250	3	Control	SJ-2	SJ	0.137	1.089	0.011	0.025	4	2_Control
SJ1-1	1	Treatment	SJ1-1_Treatment	250	1	Control	SJ-1	SJ	0.0831	1.128	-0.052	0.055	1	1_Treatment
SJ1-1	1	Treatment	SJ1-1_Treatment	250	2	Control	SJ-1	SJ	0.0919	0.915	-0.043	-0.159	1	1_Treatment
SJ1-1	1	Treatment	SJ1-1_Treatment	250	3	Control	SJ-1	SJ	0.0949	0.89	-0.04	-0.184	1	1_Treatment
SJ1-2	1	Treatment	SJ1-2_Treatment	250	1	Control	SJ-1	SJ	0.108	1.334	-0.027	0.261	2	1_Treatment
SJ1-2	1	Treatment	SJ1-2_Treatment	250	2	Control	SJ-1	SJ	0.109	1.298	-0.026	0.225	2	1_Treatment
SJ1-2	1	Treatment	SJ1-2_Treatment	250	3	Control	SJ-1	SJ	0.0969	0.754	-0.038	-0.32	2	1_Treatment
SJ1-3	1	Treatment	SJ1-3_Treatment	250	1	Control	SJ-1	SJ	0.123	1.271	-0.012	0.198	3	1_Treatment
SJ1-3	1	Treatment	SJ1-3_Treatment	250	2	Control	SJ-1	SJ	0.116	1.299	-0.019	0.226	3	1_Treatment
SJ1-3	1	Treatment	SJ1-3_Treatment	250	3	Control	SJ-1	SJ	0.126	1.275	-0.009	0.202	3	1_Treatment
SJ1-4	1	Treatment	SJ1-4_Treatment	250	1	Control	SJ-1	SJ	0.104	1.166	-0.031	0.093	4	1_Treatment
SJ1-4	1	Treatment	SJ1-4_Treatment	250	2	Control	SJ-1	SJ	0.121	1.185	-0.014	0.112	4	1_Treatment
SJ1-4	1	Treatment	SJ1-4_Treatment	250	3	Control	SJ-1	SJ	0.109	1.341	-0.026	0.267	4	1_Treatment
SJ2-1	2	Treatment	SJ2-1_Treatment	250	1	Control	SJ-2	SJ	0.142	1.14	0.016	0.075	1	2_Treatment
SJ2-1	2	Treatment	SJ2-1_Treatment	250	2	Control	SJ-2	SJ	0.133	1.068	0.007	0.004	1	2_Treatment
SJ2-1	2	Treatment	SJ2-1_Treatment	250	3	Control	SJ-2	SJ	0.138	1.064	0.012	0	1	2_Treatment
SJ2-2	2	Treatment	SJ2-2_Treatment	250	1	Control	SJ-2	SJ	0.131	1.131	0.005	0.066	2	2_Treatment
SJ2-2	2	Treatment	SJ2-2_Treatment	250	2	Control	SJ-2	SJ	0.134	1.143	0.008	0.079	2	2_Treatment
SJ2-2	2	Treatment	SJ2-2_Treatment	250	3	Control	SJ-2	SJ	0.149	1.041	0.023	-0.023	2	2_Treatment
SJ2-3	2	Treatment	SJ2-3_Treatment	250	1	Control	SJ-2	SJ	0.131	1.095	0.005	0.03	3	2_Treatment
SJ2-3	2	Treatment	SJ2-3_Treatment	250	2	Control	SJ-2	SJ	0.143	1.107	0.017	0.043	3	2_Treatment
SJ2-3	2	Treatment	SJ2-3_Treatment	250	3	Control	SJ-2	SJ	0.14	1.053	0.014	-0.011	3	2_Treatment
SJ2-4	2	Treatment	SJ2-4_Treatment	250	1	Control	SJ-2	SJ	0.119	0.883	-0.007	-0.182	4	2_Treatment
SJ2-4	2	Treatment	SJ2-4_Treatment	250	2	Control	SJ-2	SJ	0.126	0.994	0	-0.07	4	2_Treatment
SJ2-4	2	Treatment	SJ2-4_Treatment	250	3	Control	SJ-2	SJ	0.132	1.085	0.006	0.02	4	2_Treatment
SJ1	1	Ancestral	SJ1_Ancestral	0	1	Treatment	SJ-1	SJ	0.06995	1.172	0	0.349	Ancestral	1_Ancestral
SJ1	1	Ancestral	SJ1_Ancestral	0	2	Treatment	SJ-1	SJ	0.0659	0.681	-0.004	-0.141	Ancestral	1_Ancestral
SJ1	1	Ancestral	SJ1_Ancestral	0	3	Treatment	SJ-1	SJ	0.074	0.614	0.004	-0.208	Ancestral	1_Ancestral
SJ2	2	Ancestral	SJ2_Ancestral	0	1	Treatment	SJ-2	SJ	0.065	0.39	0.004	0.076	Ancestral	2_Ancestral
SJ2	2	Ancestral	SJ2_Ancestral	0	2	Treatment	SJ-2	SJ	0.0613	0.202	0	-0.112	Ancestral	2_Ancestral
SJ2	2	Ancestral	SJ2_Ancestral	0	3	Treatment	SJ-2	SJ	0.0576	0.349	-0.004	0.036	Ancestral	2_Ancestral
SJ1-1	1	Control	SJ1-1_Control	250	1	Treatment	SJ-1	SJ	0.0791	0.801	0.009	-0.021	1	1_Control
SJ1-1	1	Control	SJ1-1_Control	250	2	Treatment	SJ-1	SJ	0.0362	0.558	-0.034	-0.264	1	1_Control
SJ1-1	1	Control	SJ1-1_Control	250	3	Treatment	SJ-1	SJ	0.0589	0.923	-0.011	0.101	1	1_Control
SJ1-2	1	Control	SJ1-2_Control	250	1	Treatment	SJ-1	SJ	0.0875	1.127	0.018	0.305	2	1_Control
SJ1-2	1	Control	SJ1-2_Control	250	2	Treatment	SJ-1	SJ	0.092	1.17	0.022	0.348	2	1_Control
SJ1-2	1	Control	SJ1-2_Control	250	3	Treatment	SJ-1	SJ	0.0998	1.174	0.03	0.351	2	1_Control
SJ1-3	1	Control	SJ1-3_Control	250	1	Treatment	SJ-1	SJ	0.0605	0.789	-0.009	-0.034	3	1_Control
SJ1-3	1	Control	SJ1-3_Control	250	2	Treatment	SJ-1	SJ	0.0569	0.743	-0.013	-0.079	3	1_Control
SJ1-3	1	Control	SJ1-3_Control	250	3	Treatment	SJ-1	SJ	0.0566	0.765	-0.013	-0.057	3	1_Control
SJ1-4	1	Control	SJ1-4_Control	250	1	Treatment	SJ-1	SJ	0.0607	0.558	-0.009	-0.264	4	1_Control
SJ1-4	1	Control	SJ1-4_Control	250	2	Treatment	SJ-1	SJ	0.0519	0.538	-0.018	-0.284	4	1_Control
SJ1-4	1	Control	SJ1-4_Control	250	3	Treatment	SJ-1	SJ	0.0839	0.961	0.014	0.139	4	1_Control
SJ2-1	2	Control	SJ2-1_Control	250	1	Treatment	SJ-2	SJ	0.00223	0.081	-0.059	-0.233	1	2_Control
SJ2-1	2	Control	SJ2-1_Control	250	2	Treatment	SJ-2	SJ	0.00525	0.209	-0.056	-0.105	1	2_Control
SJ2-1	2	Control	SJ2-1_Control	250	3	Treatment	SJ-2	SJ	0.00105	0.054	-0.06	-0.259	1	2_Control
SJ2-2	2	Control	SJ2-2_Control	250	1	Treatment	SJ-2	SJ	0.00653	0.248	-0.055	-0.066	2	2_Control
SJ2-2	2	Control	SJ2-2_Control	250	2	Treatment	SJ-2	SJ	0.00589	0.219	-0.055	-0.095	2	2_Control
SJ2-2	2	Control	SJ2-2_Control	250	3	Treatment	SJ-2	SJ	0.00567	0.205	-0.056	-0.109	2	2_Control
SJ2-3	2	Control	SJ2-3_Control	250	1	Treatment	SJ-2	SJ	0.00643	0.261	-0.055	-0.053	3	2_Control
SJ2-3	2	Control	SJ2-3_Control	250	2	Treatment	SJ-2	SJ	0.00737	0.319	-0.054	0.006	3	2_Control
SJ2-3	2	Control	SJ2-3_Control	250	3	Treatment	SJ-2	SJ	0.00657	0.261	-0.055	-0.053	3	2_Control
SJ2-4	2	Control	SJ2-4_Control	250	1	Treatment	SJ-2	SJ	0.00223	0.089	-0.059	-0.225	4	2_Control
SJ2-4	2	Control	SJ2-4_Control	250	2	Treatment	SJ-2	SJ	0.00571	0.223	-0.056	-0.091	4	2_Control
SJ2-4	2	Control	SJ2-4_Control	250	3	Treatment	SJ-2	SJ	0.00662	0.212	-0.055	-0.102	4	2_Control
SJ1-1	1	Treatment	SJ1-1_Treatment	250	1	Treatment	SJ-1	SJ	0.107	1.199	0.037	0.377	1	1_Treatment
SJ1-1	1	Treatment	SJ1-1_Treatment	250	2	Treatment	SJ-1	SJ	0.105	1.009	0.035	0.187	1	1_Treatment
SJ1-1	1	Treatment	SJ1-1_Treatment	250	3	Treatment	SJ-1	SJ	0.111	1.207	0.041	0.385	1	1_Treatment
SJ1-2	1	Treatment	SJ1-2_Treatment	250	1	Treatment	SJ-1	SJ	0.0965	1.081	0.027	0.259	2	1_Treatment
SJ1-2	1	Treatment	SJ1-2_Treatment	250	2	Treatment	SJ-1	SJ	0.0906	1.028	0.021	0.205	2	1_Treatment
SJ1-2	1	Treatment	SJ1-2_Treatment	250	3	Treatment	SJ-1	SJ	0.103	1.247	0.033	0.425	2	1_Treatment
SJ1-3	1	Treatment	SJ1-3_Treatment	250	1	Treatment	SJ-1	SJ	0.108	1.253	0.038	0.43	3	1_Treatment
SJ1-3	1	Treatment	SJ1-3_Treatment	250	2	Treatment	SJ-1	SJ	0.103	1.141	0.033	0.318	3	1_Treatment
SJ1-3	1	Treatment	SJ1-3_Treatment	250	3	Treatment	SJ-1	SJ	0.08	0.838	0.01	0.016	3	1_Treatment
SJ1-4	1	Treatment	SJ1-4_Treatment	250	1	Treatment	SJ-1	SJ	0.104	1.09	0.034	0.268	4	1_Treatment
SJ1-4	1	Treatment	SJ1-4_Treatment	250	2	Treatment	SJ-1	SJ	0.109	1.142	0.039	0.32	4	1_Treatment
SJ1-4	1	Treatment	SJ1-4_Treatment	250	3	Treatment	SJ-1	SJ	0.114	1.179	0.044	0.356	4	1_Treatment
SJ2-1	2	Treatment	SJ2-1_Treatment	250	1	Treatment	SJ-2	SJ	0.0893	0.843	0.028	0.53	1	2_Treatment
SJ2-1	2	Treatment	SJ2-1_Treatment	250	2	Treatment	SJ-2	SJ	0.0875	0.486	0.026	0.172	1	2_Treatment
SJ2-1	2	Treatment	SJ2-1_Treatment	250	3	Treatment	SJ-2	SJ	0.0857	0.799	0.024	0.485	1	2_Treatment
SJ2-2	2	Treatment	SJ2-2_Treatment	250	1	Treatment	SJ-2	SJ	0.0614	0.569	0	0.255	2	2_Treatment
SJ2-2	2	Treatment	SJ2-2_Treatment	250	2	Treatment	SJ-2	SJ	0.0679	0.623	0.007	0.309	2	2_Treatment
SJ2-2	2	Treatment	SJ2-2_Treatment	250	3	Treatment	SJ-2	SJ	0.06465	0.962	0.003	0.649	2	2_Treatment
SJ2-3	2	Treatment	SJ2-3_Treatment	250	1	Treatment	SJ-2	SJ	0.105	0.996	0.044	0.682	3	2_Treatment
SJ2-3	2	Treatment	SJ2-3_Treatment	250	2	Treatment	SJ-2	SJ	0.109	1.021	0.048	0.708	3	2_Treatment
SJ2-3	2	Treatment	SJ2-3_Treatment	250	3	Treatment	SJ-2	SJ	0.104	0.995	0.043	0.681	3	2_Treatment
SJ2-4	2	Treatment	SJ2-4_Treatment	250	1	Treatment	SJ-2	SJ	0.0737	0.778	0.012	0.465	4	2_Treatment
SJ2-4	2	Treatment	SJ2-4_Treatment	250	2	Treatment	SJ-2	SJ	0.0959	1.025	0.035	0.712	4	2_Treatment
SJ2-4	2	Treatment	SJ2-4_Treatment	250	3	Treatment	SJ-2	SJ	0.109	1.011	0.048	0.697	4	2_Treatment
SC1	1	Ancestral	SC1_Ancestral	0	1	Control	SC-1	SC	0.125	1.161	0.013	0.128	Ancestral	1_Ancestral
SC1	1	Ancestral	SC1_Ancestral	0	2	Control	SC-1	SC	0.0983	0.894	-0.013	-0.139	Ancestral	1_Ancestral
SC1	1	Ancestral	SC1_Ancestral	0	3	Control	SC-1	SC	0.112	1.044	0	0.011	Ancestral	1_Ancestral
SC2	2	Ancestral	SC2_Ancestral	0	1	Control	SC-2	SC	0.13	1.015	-0.002	-0.015	Ancestral	2_Ancestral
SC2	2	Ancestral	SC2_Ancestral	0	2	Control	SC-2	SC	0.13	1.044	-0.002	0.014	Ancestral	2_Ancestral
SC2	2	Ancestral	SC2_Ancestral	0	3	Control	SC-2	SC	0.137	1.03	0.005	0	Ancestral	2_Ancestral
SC1-1	1	Control	SC1-1_Control	250	1	Control	SC-1	SC	0.157	1.219	0.045	0.186	1	1_Control
SC1-1	1	Control	SC1-1_Control	250	2	Control	SC-1	SC	0.131	1.075	0.019	0.042	1	1_Control
SC1-1	1	Control	SC1-1_Control	250	3	Control	SC-1	SC	0.137	1.117	0.025	0.084	1	1_Control
SC1-2	1	Control	SC1-2_Control	250	1	Control	SC-1	SC	0.13	1.152	0.018	0.119	2	1_Control
SC1-2	1	Control	SC1-2_Control	250	2	Control	SC-1	SC	0.122	1.169	0.01	0.136	2	1_Control
SC1-2	1	Control	SC1-2_Control	250	3	Control	SC-1	SC	0.131	1.109	0.019	0.076	2	1_Control
SC1-3	1	Control	SC1-3_Control	250	1	Control	SC-1	SC	0.126	1.086	0.014	0.053	3	1_Control
SC1-3	1	Control	SC1-3_Control	250	2	Control	SC-1	SC	0.13	1.135	0.018	0.102	3	1_Control
SC1-3	1	Control	SC1-3_Control	250	3	Control	SC-1	SC	0.13	1.071	0.018	0.038	3	1_Control
SC1-4	1	Control	SC1-4_Control	250	1	Control	SC-1	SC	0.125	1.135	0.013	0.102	4	1_Control
SC1-4	1	Control	SC1-4_Control	250	2	Control	SC-1	SC	0.129	1.12	0.017	0.087	4	1_Control
SC1-4	1	Control	SC1-4_Control	250	3	Control	SC-1	SC	0.145	1.228	0.033	0.195	4	1_Control
SC2-1	2	Control	SC2-1_Control	250	1	Control	SC-2	SC	0.148	1.124	0.016	0.094	1	2_Control
SC2-1	2	Control	SC2-1_Control	250	2	Control	SC-2	SC	0.137	1.039	0.005	0.009	1	2_Control
SC2-1	2	Control	SC2-1_Control	250	3	Control	SC-2	SC	0.131	1.061	-0.001	0.031	1	2_Control
SC2-2	2	Control	SC2-2_Control	250	1	Control	SC-2	SC	0.136	1.095	0.004	0.065	2	2_Control
SC2-2	2	Control	SC2-2_Control	250	2	Control	SC-2	SC	0.133	1.074	0.001	0.044	2	2_Control
SC2-2	2	Control	SC2-2_Control	250	3	Control	SC-2	SC	0.137	1.052	0.005	0.022	2	2_Control
SC2-3	2	Control	SC2-3_Control	250	1	Control	SC-2	SC	0.128	1.1	-0.004	0.07	3	2_Control
SC2-3	2	Control	SC2-3_Control	250	2	Control	SC-2	SC	0.123	1.093	-0.009	0.063	3	2_Control
SC2-3	2	Control	SC2-3_Control	250	3	Control	SC-2	SC	0.128	1.065	-0.004	0.035	3	2_Control
SC2-4	2	Control	SC2-4_Control	250	1	Control	SC-2	SC	0.135	1.027	0.003	-0.003	4	2_Control
SC2-4	2	Control	SC2-4_Control	250	2	Control	SC-2	SC	0.127	1.062	-0.005	0.032	4	2_Control
SC2-4	2	Control	SC2-4_Control	250	3	Control	SC-2	SC	0.151	1.174	0.019	0.144	4	2_Control
SC1-1	1	Treatment	SC1-1_Treatment	250	1	Control	SC-1	SC	0.129	1.197	0.017	0.164	1	1_Treatment
SC1-1	1	Treatment	SC1-1_Treatment	250	2	Control	SC-1	SC	0.115	1.07	0.003	0.037	1	1_Treatment
SC1-1	1	Treatment	SC1-1_Treatment	250	3	Control	SC-1	SC	0.118	1.16	0.006	0.127	1	1_Treatment
SC1-2	1	Treatment	SC1-2_Treatment	250	1	Control	SC-1	SC	0.104	0.925	-0.008	-0.108	2	1_Treatment
SC1-2	1	Treatment	SC1-2_Treatment	250	2	Control	SC-1	SC	0.112	1.082	0	0.049	2	1_Treatment
SC1-2	1	Treatment	SC1-2_Treatment	250	3	Control	SC-1	SC	0.0998	0.886	-0.012	-0.147	2	1_Treatment
SC1-3	1	Treatment	SC1-3_Treatment	250	1	Control	SC-1	SC	0.12	1.122	0.008	0.089	3	1_Treatment
SC1-3	1	Treatment	SC1-3_Treatment	250	2	Control	SC-1	SC	0.122	1.217	0.01	0.184	3	1_Treatment
SC1-3	1	Treatment	SC1-3_Treatment	250	3	Control	SC-1	SC	0.0824	0.778	-0.029	-0.255	3	1_Treatment
SC1-4	1	Treatment	SC1-4_Treatment	250	1	Control	SC-1	SC	0.0723	0.664	-0.039	-0.369	4	1_Treatment
SC1-4	1	Treatment	SC1-4_Treatment	250	2	Control	SC-1	SC	0.0617	0.578	-0.05	-0.455	4	1_Treatment
SC1-4	1	Treatment	SC1-4_Treatment	250	3	Control	SC-1	SC	0.119	1.002	0.007	-0.031	4	1_Treatment
SC2-1	2	Treatment	SC2-1_Treatment	250	1	Control	SC-2	SC	0.119	1.08	-0.013	0.05	1	2_Treatment
SC2-1	2	Treatment	SC2-1_Treatment	250	2	Control	SC-2	SC	0.116	1.035	-0.016	0.005	1	2_Treatment
SC2-1	2	Treatment	SC2-1_Treatment	250	3	Control	SC-2	SC	0.112	0.956	-0.02	-0.074	1	2_Treatment
SC2-2	2	Treatment	SC2-2_Treatment	250	1	Control	SC-2	SC	0.112	0.98	-0.02	-0.05	2	2_Treatment
SC2-2	2	Treatment	SC2-2_Treatment	250	2	Control	SC-2	SC	0.115	1.043	-0.017	0.013	2	2_Treatment
SC2-2	2	Treatment	SC2-2_Treatment	250	3	Control	SC-2	SC	0.104	0.953	-0.028	-0.077	2	2_Treatment
SC2-3	2	Treatment	SC2-3_Treatment	250	1	Control	SC-2	SC	0.0998	0.943	-0.033	-0.087	3	2_Treatment
SC2-3	2	Treatment	SC2-3_Treatment	250	2	Control	SC-2	SC	0.109	0.965	-0.023	-0.065	3	2_Treatment
SC2-3	2	Treatment	SC2-3_Treatment	250	3	Control	SC-2	SC	0.0863	0.853	-0.046	-0.177	3	2_Treatment
SC2-4	2	Treatment	SC2-4_Treatment	250	1	Control	SC-2	SC	0.0822	0.754	-0.05	-0.276	4	2_Treatment
SC2-4	2	Treatment	SC2-4_Treatment	250	2	Control	SC-2	SC	0.11	0.966	-0.022	-0.064	4	2_Treatment
SC2-4	2	Treatment	SC2-4_Treatment	250	3	Control	SC-2	SC	0.094	0.878	-0.038	-0.152	4	2_Treatment
SC1	1	Ancestral	SC1_Ancestral	0	1	Treatment	SC-1	SC	0.0524	0.607	-0.026	-0.206	Ancestral	1_Ancestral
SC1	1	Ancestral	SC1_Ancestral	0	2	Treatment	SC-1	SC	0.102	1.066	0.024	0.252	Ancestral	1_Ancestral
SC1	1	Ancestral	SC1_Ancestral	0	3	Treatment	SC-1	SC	0.0802	0.767	0.002	-0.046	Ancestral	1_Ancestral
SC2	2	Ancestral	SC2_Ancestral	0	1	Treatment	SC-2	SC	0.141	1.192	0.007	0.04	Ancestral	2_Ancestral
SC2	2	Ancestral	SC2_Ancestral	0	2	Treatment	SC-2	SC	0.143	1.269	0.009	0.116	Ancestral	2_Ancestral
SC2	2	Ancestral	SC2_Ancestral	0	3	Treatment	SC-2	SC	0.118	0.996	-0.016	-0.156	Ancestral	2_Ancestral
SC1-1	1	Control	SC1-1_Control	250	1	Treatment	SC-1	SC	0.0954	0.87	0.017	0.057	1	1_Control
SC1-1	1	Control	SC1-1_Control	250	2	Treatment	SC-1	SC	0.116	1.275	0.038	0.462	1	1_Control
SC1-1	1	Control	SC1-1_Control	250	3	Treatment	SC-1	SC	0.0804	0.701	0.002	-0.112	1	1_Control
SC1-2	1	Control	SC1-2_Control	250	1	Treatment	SC-1	SC	0.0845	0.761	0.006	-0.052	2	1_Control
SC1-2	1	Control	SC1-2_Control	250	2	Treatment	SC-1	SC	0.0937	0.916	0.016	0.102	2	1_Control
SC1-2	1	Control	SC1-2_Control	250	3	Treatment	SC-1	SC	0.112	0.999	0.034	0.186	2	1_Control
SC1-3	1	Control	SC1-3_Control	250	1	Treatment	SC-1	SC	0.0939	1.084	0.016	0.271	3	1_Control
SC1-3	1	Control	SC1-3_Control	250	2	Treatment	SC-1	SC	0.125	1.333	0.047	0.52	3	1_Control
SC1-3	1	Control	SC1-3_Control	250	3	Treatment	SC-1	SC	0.131	1.253	0.053	0.439	3	1_Control
SC1-4	1	Control	SC1-4_Control	250	1	Treatment	SC-1	SC	0.118	1.066	0.04	0.253	4	1_Control
SC1-4	1	Control	SC1-4_Control	250	2	Treatment	SC-1	SC	0.127	1.147	0.049	0.334	4	1_Control
SC1-4	1	Control	SC1-4_Control	250	3	Treatment	SC-1	SC	0.0708	0.587	-0.007	-0.227	4	1_Control
SC2-1	2	Control	SC2-1_Control	250	1	Treatment	SC-2	SC	0.135	0.957	0.001	-0.195	1	2_Control
SC2-1	2	Control	SC2-1_Control	250	2	Treatment	SC-2	SC	0.129	1.126	-0.005	-0.026	1	2_Control
SC2-1	2	Control	SC2-1_Control	250	3	Treatment	SC-2	SC	0.108	0.885	-0.026	-0.268	1	2_Control
SC2-2	2	Control	SC2-2_Control	250	1	Treatment	SC-2	SC	0.0904	0.762	-0.044	-0.391	2	2_Control
SC2-2	2	Control	SC2-2_Control	250	2	Treatment	SC-2	SC	0.123	0.996	-0.011	-0.156	2	2_Control
SC2-2	2	Control	SC2-2_Control	250	3	Treatment	SC-2	SC	0.143	1.342	0.009	0.189	2	2_Control
SC2-3	2	Control	SC2-3_Control	250	1	Treatment	SC-2	SC	0.134	1.216	0	0.064	3	2_Control
SC2-3	2	Control	SC2-3_Control	250	2	Treatment	SC-2	SC	0.126	1.205	-0.008	0.053	3	2_Control
SC2-3	2	Control	SC2-3_Control	250	3	Treatment	SC-2	SC	0.14	1.305	0.006	0.153	3	2_Control
SC2-4	2	Control	SC2-4_Control	250	1	Treatment	SC-2	SC	0.151	1.302	0.017	0.15	4	2_Control
SC2-4	2	Control	SC2-4_Control	250	2	Treatment	SC-2	SC	0.157	1.313	0.023	0.161	4	2_Control
SC2-4	2	Control	SC2-4_Control	250	3	Treatment	SC-2	SC	0.156	1.115	0.022	-0.037	4	2_Control
SC1-1	1	Treatment	SC1-1_Treatment	250	1	Treatment	SC-1	SC	0.091	0.864	0.013	0.051	1	1_Treatment
SC1-1	1	Treatment	SC1-1_Treatment	250	2	Treatment	SC-1	SC	0.117	1.258	0.039	0.444	1	1_Treatment
SC1-1	1	Treatment	SC1-1_Treatment	250	3	Treatment	SC-1	SC	0.128	1.295	0.05	0.482	1	1_Treatment
SC1-2	1	Treatment	SC1-2_Treatment	250	1	Treatment	SC-1	SC	0.112	1.242	0.034	0.429	2	1_Treatment
SC1-2	1	Treatment	SC1-2_Treatment	250	2	Treatment	SC-1	SC	0.0819	0.938	0.004	0.124	2	1_Treatment
SC1-2	1	Treatment	SC1-2_Treatment	250	3	Treatment	SC-1	SC	0.098	1.067	0.02	0.254	2	1_Treatment
SC1-3	1	Treatment	SC1-3_Treatment	250	1	Treatment	SC-1	SC	0.133	1.308	0.055	0.495	3	1_Treatment
SC1-3	1	Treatment	SC1-3_Treatment	250	2	Treatment	SC-1	SC	0.137	1.353	0.059	0.54	3	1_Treatment
SC1-3	1	Treatment	SC1-3_Treatment	250	3	Treatment	SC-1	SC	0.122	1.239	0.044	0.426	3	1_Treatment
SC1-4	1	Treatment	SC1-4_Treatment	250	1	Treatment	SC-1	SC	0.125	1.319	0.047	0.505	4	1_Treatment
SC1-4	1	Treatment	SC1-4_Treatment	250	2	Treatment	SC-1	SC	0.0544	0.662	-0.024	-0.151	4	1_Treatment
SC1-4	1	Treatment	SC1-4_Treatment	250	3	Treatment	SC-1	SC	0.0897	0.321	0.012	-0.493	4	1_Treatment
SC2-1	2	Treatment	SC2-1_Treatment	250	1	Treatment	SC-2	SC	0.0422	0.462	-0.092	-0.69	1	2_Treatment
SC2-1	2	Treatment	SC2-1_Treatment	250	2	Treatment	SC-2	SC	0.0817	1.011	-0.052	-0.141	1	2_Treatment
SC2-1	2	Treatment	SC2-1_Treatment	250	3	Treatment	SC-2	SC	0.096	1.073	-0.038	-0.08	1	2_Treatment
SC2-2	2	Treatment	SC2-2_Treatment	250	1	Treatment	SC-2	SC	0.0621	0.599	-0.072	-0.554	2	2_Treatment
SC2-2	2	Treatment	SC2-2_Treatment	250	2	Treatment	SC-2	SC	0.0794	0.817	-0.055	-0.335	2	2_Treatment
SC2-2	2	Treatment	SC2-2_Treatment	250	3	Treatment	SC-2	SC	0.0963	1.003	-0.038	-0.149	2	2_Treatment
SC2-3	2	Treatment	SC2-3_Treatment	250	1	Treatment	SC-2	SC	0.0473	1.179	-0.087	0.027	3	2_Treatment
SC2-3	2	Treatment	SC2-3_Treatment	250	2	Treatment	SC-2	SC	0.0503	0.476	-0.084	-0.676	3	2_Treatment
SC2-3	2	Treatment	SC2-3_Treatment	250	3	Treatment	SC-2	SC	0.0443	0.435	-0.09	-0.718	3	2_Treatment
SC2-4	2	Treatment	SC2-4_Treatment	250	1	Treatment	SC-2	SC	0.0476	0.463	-0.086	-0.689	4	2_Treatment
SC2-4	2	Treatment	SC2-4_Treatment	250	2	Treatment	SC-2	SC	0.0889	1.004	-0.045	-0.148	4	2_Treatment
SC2-4	2	Treatment	SC2-4_Treatment	250	3	Treatment	SC-2	SC	0.06825	0.19	-0.066	-0.963	4	2_Treatment
