Strain	Condition	Individual	Replicate	Highlight.1	Rate	OD	Temperature	Specie	Strain2	Line
SP1-4	Treatment	I3	3	SP1-4_Treatment_I3	0.299	1.125	25	SP	SP1	4
SP1	Ancestral	Ancestral	1	SP1_Ancestral	0.431	0.982	25	SP	SP1	Ancestral
SP1	Ancestral	Ancestral	2	SP1_Ancestral	0.419	1.023	25	SP	SP1	Ancestral
SP1	Ancestral	Ancestral	3	SP1_Ancestral	0.425	1.026	25	SP	SP1	Ancestral
SP1-1	Control	I1	1	SP1-1_Control_I1	0.155	0.935	20	SP	SP1	1
SP1-1	Control	I1	2	SP1-1_Control_I1	0.152	0.798	20	SP	SP1	1
SP1-1	Control	I1	3	SP1-1_Control_I1	0.159	0.961	20	SP	SP1	1
SP1-2	Control	I1	1	SP1-2_Control_I1	0.176	1.093	20	SP	SP1	2
SP1-2	Control	I1	2	SP1-2_Control_I1	0.166	0.989	20	SP	SP1	2
SP1-2	Control	I1	3	SP1-2_Control_I1	0.171	1.017	20	SP	SP1	2
SP1-3	Control	I1	1	SP1-3_Control_I1	0.159	0.949	20	SP	SP1	3
SP1-3	Control	I1	2	SP1-3_Control_I1	0.165	1.059	20	SP	SP1	3
SP1-3	Control	I1	3	SP1-3_Control_I1	0.157	0.942	20	SP	SP1	3
SP1-4	Control	I1	1	SP1-4_Control_I1	0.165	1.055	20	SP	SP1	4
SP1-4	Control	I1	2	SP1-4_Control_I1	0.166	1.022	20	SP	SP1	4
SP1-4	Control	I1	3	SP1-4_Control_I1	0.165	0.927	20	SP	SP1	4
SP1-1	Control	I2	1	SP1-1_Control_I2	0.148	0.942	20	SP	SP1	1
SP1-1	Control	I2	2	SP1-1_Control_I2	0.175	0.860	20	SP	SP1	1
SP1-1	Control	I2	3	SP1-1_Control_I2	0.162	1.054	20	SP	SP1	1
SP1-2	Control	I2	1	SP1-2_Control_I2	0.172	1.083	20	SP	SP1	2
SP1-2	Control	I2	2	SP1-2_Control_I2	0.175	1.099	20	SP	SP1	2
SP1-2	Control	I2	3	SP1-2_Control_I2	0.171	1.080	20	SP	SP1	2
SP1-3	Control	I2	1	SP1-3_Control_I2	0.169	1.070	20	SP	SP1	3
SP1-3	Control	I2	2	SP1-3_Control_I2	0.157	1.083	20	SP	SP1	3
SP1-3	Control	I2	3	SP1-3_Control_I2	0.166	1.046	20	SP	SP1	3
SP1-4	Control	I2	1	SP1-4_Control_I2	0.167	1.095	20	SP	SP1	4
SP1-4	Control	I2	2	SP1-4_Control_I2	0.159	1.033	20	SP	SP1	4
SP1-4	Control	I2	3	SP1-4_Control_I2	0.163	0.861	20	SP	SP1	4
SP1-1	Control	I3	1	SP1-1_Control_I3	0.153	0.938	20	SP	SP1	1
SP1-1	Control	I3	2	SP1-1_Control_I3	0.169	0.880	20	SP	SP1	1
SP1-1	Control	I3	3	SP1-1_Control_I3	0.158	1.048	20	SP	SP1	1
SP1-2	Control	I3	1	SP1-2_Control_I3	0.172	1.037	20	SP	SP1	2
SP1-2	Control	I3	2	SP1-2_Control_I3	0.163	1.000	20	SP	SP1	2
SP1-2	Control	I3	3	SP1-2_Control_I3	0.165	1.041	20	SP	SP1	2
SP1-3	Control	I3	1	SP1-3_Control_I3	0.129	0.762	20	SP	SP1	3
SP1-3	Control	I3	2	SP1-3_Control_I3	0.16	1.060	20	SP	SP1	3
SP1-3	Control	I3	3	SP1-3_Control_I3	0.159	1.015	20	SP	SP1	3
SP1-4	Control	I3	1	SP1-4_Control_I3	0.161	0.952	20	SP	SP1	4
SP1-4	Control	I3	2	SP1-4_Control_I3	0.167	1.076	20	SP	SP1	4
SP1-4	Control	I3	3	SP1-4_Control_I3	0.164	0.999	20	SP	SP1	4
SP1-3	Treatment	I1	1	SP1-1_Treatment_I1	0.121	1.063	20	SP	SP1	1
SP1-3	Treatment	I1	2	SP1-1_Treatment_I1	0.121	0.812	20	SP	SP1	1
SP1-3	Treatment	I1	3	SP1-1_Treatment_I1	0.122	0.878	20	SP	SP1	1
SP1-2	Treatment	I1	1	SP1-2_Treatment_I1	0.151	1.153	20	SP	SP1	2
SP1-2	Treatment	I1	2	SP1-2_Treatment_I1	0.139	1.029	20	SP	SP1	2
SP1-2	Treatment	I1	3	SP1-2_Treatment_I1	0.134	1.018	20	SP	SP1	2
SP1-1	Treatment	I1	1	SP1-3_Treatment_I1	0.123	0.991	20	SP	SP1	3
SP1-1	Treatment	I1	2	SP1-3_Treatment_I1	0.123	0.936	20	SP	SP1	3
SP1-1	Treatment	I1	3	SP1-3_Treatment_I1	0.118	0.842	20	SP	SP1	3
SP1-4	Treatment	I1	1	SP1-4_Treatment_I1	0.116	0.803	20	SP	SP1	4
SP1-4	Treatment	I1	2	SP1-4_Treatment_I1	0.129	1.050	20	SP	SP1	4
SP1-4	Treatment	I1	3	SP1-4_Treatment_I1	0.122	0.913	20	SP	SP1	4
SP1-3	Treatment	I2	1	SP1-1_Treatment_I2	NA	NA	20	SP	SP1	1
SP1-3	Treatment	I2	2	SP1-1_Treatment_I2	NA	NA	20	SP	SP1	1
SP1-3	Treatment	I2	3	SP1-1_Treatment_I2	NA	NA	20	SP	SP1	1
SP1-2	Treatment	I2	1	SP1-2_Treatment_I2	0.12	0.862	20	SP	SP1	2
SP1-2	Treatment	I2	2	SP1-2_Treatment_I2	0.128	0.916	20	SP	SP1	2
SP1-2	Treatment	I2	3	SP1-2_Treatment_I2	0.11	0.700	20	SP	SP1	2
SP1-1	Treatment	I2	1	SP1-3_Treatment_I2	0.125	1.090	20	SP	SP1	3
SP1-1	Treatment	I2	2	SP1-3_Treatment_I2	0.125	1.106	20	SP	SP1	3
SP1-1	Treatment	I2	3	SP1-3_Treatment_I2	0.127	0.975	20	SP	SP1	3
SP1-4	Treatment	I2	1	SP1-4_Treatment_I2	0.14	1.151	20	SP	SP1	4
SP1-4	Treatment	I2	2	SP1-4_Treatment_I2	0.142	1.172	20	SP	SP1	4
SP1-4	Treatment	I2	3	SP1-4_Treatment_I2	0.141	0.725	20	SP	SP1	4
SP1-3	Treatment	I3	1	SP1-1_Treatment_I3	0.114	1.052	20	SP	SP1	1
SP1-3	Treatment	I3	2	SP1-1_Treatment_I3	0.121	0.709	20	SP	SP1	1
SP1-3	Treatment	I3	3	SP1-1_Treatment_I3	0.129	0.828	20	SP	SP1	1
SP1-2	Treatment	I3	1	SP1-2_Treatment_I3	0.146	1.010	20	SP	SP1	2
SP1-2	Treatment	I3	2	SP1-2_Treatment_I3	0.132	0.915	20	SP	SP1	2
SP1-2	Treatment	I3	3	SP1-2_Treatment_I3	0.147	1.283	20	SP	SP1	2
SP1-1	Treatment	I3	1	SP1-3_Treatment_I3	0.125	0.855	20	SP	SP1	3
SP1-1	Treatment	I3	2	SP1-3_Treatment_I3	0.13	0.846	20	SP	SP1	3
SP1-1	Treatment	I3	3	SP1-3_Treatment_I3	0.121	0.883	20	SP	SP1	3
SP1-4	Treatment	I3	1	SP1-4_Treatment_I3	0.124	1.240	20	SP	SP1	4
SP1-4	Treatment	I3	2	SP1-4_Treatment_I3	0.116	0.887	20	SP	SP1	4
SP1-4	Treatment	I3	3	SP1-4_Treatment_I3	0.12	0.912	20	SP	SP1	4
SP1	Ancestral	Ancestral	1	SP1_Ancestral	0.347	0.817	20	SP	SP1	Ancestral
SP1	Ancestral	Ancestral	2	SP1_Ancestral	0.335	0.890	20	SP	SP1	Ancestral
SP1	Ancestral	Ancestral	3	SP1_Ancestral	0.344	0.993	20	SP	SP1	Ancestral
SP1-1	Control	I1	1	SP1-1_Control_I1	0.122	0.958	16	SP	SP1	1
SP1-1	Control	I1	2	SP1-1_Control_I1	0.12	0.815	16	SP	SP1	1
SP1-1	Control	I1	3	SP1-1_Control_I1	0.119	1.014	16	SP	SP1	1
SP1-2	Control	I1	1	SP1-2_Control_I1	0.124	0.872	16	SP	SP1	2
SP1-2	Control	I1	2	SP1-2_Control_I1	0.11	0.858	16	SP	SP1	2
SP1-2	Control	I1	3	SP1-2_Control_I1	0.116	0.988	16	SP	SP1	2
SP1-3	Control	I1	1	SP1-3_Control_I1	0.108	0.933	16	SP	SP1	3
SP1-3	Control	I1	2	SP1-3_Control_I1	0.113	1.078	16	SP	SP1	3
SP1-3	Control	I1	3	SP1-3_Control_I1	0.121	1.066	16	SP	SP1	3
SP1-4	Control	I1	1	SP1-4_Control_I1	0.114	1.004	16	SP	SP1	4
SP1-4	Control	I1	2	SP1-4_Control_I1	0.12	1.088	16	SP	SP1	4
SP1-4	Control	I1	3	SP1-4_Control_I1	0.117	1.067	16	SP	SP1	4
SP1-1	Control	I2	1	SP1-1_Control_I2	0.126	0.949	16	SP	SP1	1
SP1-1	Control	I2	2	SP1-1_Control_I2	0.121	0.854	16	SP	SP1	1
SP1-1	Control	I2	3	SP1-1_Control_I2	0.117	0.978	16	SP	SP1	1
SP1-2	Control	I2	1	SP1-2_Control_I2	0.113	0.908	16	SP	SP1	2
SP1-2	Control	I2	2	SP1-2_Control_I2	0.105	0.917	16	SP	SP1	2
SP1-2	Control	I2	3	SP1-2_Control_I2	0.12	1.100	16	SP	SP1	2
SP1-3	Control	I2	1	SP1-3_Control_I2	0.11	1.039	16	SP	SP1	3
SP1-3	Control	I2	2	SP1-3_Control_I2	0.11	1.040	16	SP	SP1	3
SP1-3	Control	I2	3	SP1-3_Control_I2	0.0919	0.878	16	SP	SP1	3
SP1-4	Control	I2	1	SP1-4_Control_I2	0.116	0.987	16	SP	SP1	4
SP1-4	Control	I2	2	SP1-4_Control_I2	0.132	1.019	16	SP	SP1	4
SP1-4	Control	I2	3	SP1-4_Control_I2	0.112	1.001	16	SP	SP1	4
SP1-1	Control	I3	1	SP1-1_Control_I3	0.112	0.881	16	SP	SP1	1
SP1-1	Control	I3	2	SP1-1_Control_I3	0.119	0.912	16	SP	SP1	1
SP1-1	Control	I3	3	SP1-1_Control_I3	0.117	1.072	16	SP	SP1	1
SP1-2	Control	I3	1	SP1-2_Control_I3	0.116	1.005	16	SP	SP1	2
SP1-2	Control	I3	2	SP1-2_Control_I3	0.119	1.001	16	SP	SP1	2
SP1-2	Control	I3	3	SP1-2_Control_I3	0.125	1.110	16	SP	SP1	2
SP1-3	Control	I3	1	SP1-3_Control_I3	0.114	1.036	16	SP	SP1	3
SP1-3	Control	I3	2	SP1-3_Control_I3	0.102	0.868	16	SP	SP1	3
SP1-3	Control	I3	3	SP1-3_Control_I3	0.117	1.041	16	SP	SP1	3
SP1-4	Control	I3	1	SP1-4_Control_I3	0.11	1.026	16	SP	SP1	4
SP1-4	Control	I3	2	SP1-4_Control_I3	0.113	1.000	16	SP	SP1	4
SP1-4	Control	I3	3	SP1-4_Control_I3	0.115	1.015	16	SP	SP1	4
SP1-3	Treatment	I1	1	SP1-1_Treatment_I1	0.0804	0.990	16	SP	SP1	1
SP1-3	Treatment	I1	2	SP1-1_Treatment_I1	0.07895	0.636	16	SP	SP1	1
SP1-3	Treatment	I1	3	SP1-1_Treatment_I1	0.0775	0.686	16	SP	SP1	1
SP1-2	Treatment	I1	1	SP1-2_Treatment_I1	0.0789	0.715	16	SP	SP1	2
SP1-2	Treatment	I1	2	SP1-2_Treatment_I1	0.0857	0.920	16	SP	SP1	2
SP1-2	Treatment	I1	3	SP1-2_Treatment_I1	0.105	1.260	16	SP	SP1	2
SP1-1	Treatment	I1	1	SP1-3_Treatment_I1	0.0783	0.957	16	SP	SP1	3
SP1-1	Treatment	I1	2	SP1-3_Treatment_I1	0.0874	1.229	16	SP	SP1	3
SP1-1	Treatment	I1	3	SP1-3_Treatment_I1	0.071	0.734	16	SP	SP1	3
SP1-4	Treatment	I1	1	SP1-4_Treatment_I1	0.0825	1.054	16	SP	SP1	4
SP1-4	Treatment	I1	2	SP1-4_Treatment_I1	0.0967	1.232	16	SP	SP1	4
SP1-4	Treatment	I1	3	SP1-4_Treatment_I1	0.0948	1.309	16	SP	SP1	4
SP1-3	Treatment	I2	1	SP1-1_Treatment_I2	NA	NA	16	SP	SP1	1
SP1-3	Treatment	I2	2	SP1-1_Treatment_I2	NA	NA	16	SP	SP1	1
SP1-3	Treatment	I2	3	SP1-1_Treatment_I2	NA	NA	16	SP	SP1	1
SP1-2	Treatment	I2	1	SP1-2_Treatment_I2	0.0972	1.120	16	SP	SP1	2
SP1-2	Treatment	I2	2	SP1-2_Treatment_I2	0.0664	0.573	16	SP	SP1	2
SP1-2	Treatment	I2	3	SP1-2_Treatment_I2	0.0892	1.018	16	SP	SP1	2
SP1-1	Treatment	I2	1	SP1-3_Treatment_I2	0.0877	0.844	16	SP	SP1	3
SP1-1	Treatment	I2	2	SP1-3_Treatment_I2	0.0585	0.494	16	SP	SP1	3
SP1-1	Treatment	I2	3	SP1-3_Treatment_I2	0.0727	0.819	16	SP	SP1	3
SP1-4	Treatment	I2	1	SP1-4_Treatment_I2	0.0714	0.796	16	SP	SP1	4
SP1-4	Treatment	I2	2	SP1-4_Treatment_I2	0.0951	1.234	16	SP	SP1	4
SP1-4	Treatment	I2	3	SP1-4_Treatment_I2	0.0963	1.305	16	SP	SP1	4
SP1-3	Treatment	I3	1	SP1-1_Treatment_I3	0.0881	1.082	16	SP	SP1	1
SP1-3	Treatment	I3	2	SP1-1_Treatment_I3	0.101	0.850	16	SP	SP1	1
SP1-3	Treatment	I3	3	SP1-1_Treatment_I3	0.102	1.262	16	SP	SP1	1
SP1-2	Treatment	I3	1	SP1-2_Treatment_I3	0.085	0.864	16	SP	SP1	2
SP1-2	Treatment	I3	2	SP1-2_Treatment_I3	0.101	1.173	16	SP	SP1	2
SP1-2	Treatment	I3	3	SP1-2_Treatment_I3	0.102	1.111	16	SP	SP1	2
SP1-1	Treatment	I3	1	SP1-3_Treatment_I3	0.0884	1.102	16	SP	SP1	3
SP1-1	Treatment	I3	2	SP1-3_Treatment_I3	0.0885	1.194	16	SP	SP1	3
SP1-1	Treatment	I3	3	SP1-3_Treatment_I3	0.075	0.681	16	SP	SP1	3
SP1-4	Treatment	I3	1	SP1-4_Treatment_I3	0.0724	0.980	16	SP	SP1	4
SP1-4	Treatment	I3	2	SP1-4_Treatment_I3	0.0719	1.303	16	SP	SP1	4
SP1-4	Treatment	I3	3	SP1-4_Treatment_I3	0.072	1.024	16	SP	SP1	4
SP1	Ancestral	Ancestral	1	SP1_Ancestral	0.181	1.152	16	SP	SP1	Ancestral
SP1	Ancestral	Ancestral	2	SP1_Ancestral	0.17	1.050	16	SP	SP1	Ancestral
SP1	Ancestral	Ancestral	3	SP1_Ancestral	0.165	1.053	16	SP	SP1	Ancestral
SC2-1	Control	I1	1	SC2-1_Control_I1	0.507	1.278	25	SC	SC2	1
SC2-1	Control	I1	2	SC2-1_Control_I1	0.503	1.139	25	SC	SC2	1
SC2-1	Control	I1	3	SC2-1_Control_I1	0.512	1.149	25	SC	SC2	1
SC2-2	Control	I1	1	SC2-2_Control_I1	0.505	1.183	25	SC	SC2	2
SC2-2	Control	I1	2	SC2-2_Control_I1	0.493	1.145	25	SC	SC2	2
SC2-2	Control	I1	3	SC2-2_Control_I1	0.499	1.024	25	SC	SC2	2
SC2-3	Control	I1	1	SC2-3_Control_I1	0.407	1.069	25	SC	SC2	3
SC2-3	Control	I1	2	SC2-3_Control_I1	0.51	1.186	25	SC	SC2	3
SC2-3	Control	I1	3	SC2-3_Control_I1	0.459	1.195	25	SC	SC2	3
SC2-4	Control	I1	1	SC2-4_Control_I1	0.421	1.058	25	SC	SC2	4
SC2-4	Control	I1	2	SC2-4_Control_I1	0.429	1.147	25	SC	SC2	4
SC2-4	Control	I1	3	SC2-4_Control_I1	0.412	1.055	25	SC	SC2	4
SC2-1	Control	I2	1	SC2-1_Control_I2	0.604	1.226	25	SC	SC2	1
SC2-1	Control	I2	2	SC2-1_Control_I2	0.591	1.193	25	SC	SC2	1
SC2-1	Control	I2	3	SC2-1_Control_I2	0.537	1.160	25	SC	SC2	1
SC2-2	Control	I2	1	SC2-2_Control_I2	0.454	1.204	25	SC	SC2	2
SC2-2	Control	I2	2	SC2-2_Control_I2	0.48	1.172	25	SC	SC2	2
SC2-2	Control	I2	3	SC2-2_Control_I2	0.428	1.062	25	SC	SC2	2
SC2-3	Control	I2	1	SC2-3_Control_I2	0.446	1.093	25	SC	SC2	3
SC2-3	Control	I2	2	SC2-3_Control_I2	0.462	1.152	25	SC	SC2	3
SC2-3	Control	I2	3	SC2-3_Control_I2	0.425	1.099	25	SC	SC2	3
SC2-4	Control	I2	1	SC2-4_Control_I2	0.403	1.052	25	SC	SC2	4
SC2-4	Control	I2	2	SC2-4_Control_I2	0.435	1.081	25	SC	SC2	4
SC2-4	Control	I2	3	SC2-4_Control_I2	0.426	1.078	25	SC	SC2	4
SC2-1	Control	I3	1	SC2-1_Control_I3	0.4545	1.251	25	SC	SC2	1
SC2-1	Control	I3	2	SC2-1_Control_I3	0.423	1.100	25	SC	SC2	1
SC2-1	Control	I3	3	SC2-1_Control_I3	0.486	1.195	25	SC	SC2	1
SC2-2	Control	I3	1	SC2-2_Control_I3	0.576	1.186	25	SC	SC2	2
SC2-2	Control	I3	2	SC2-2_Control_I3	0.541	1.207	25	SC	SC2	2
SC2-2	Control	I3	3	SC2-2_Control_I3	0.5585	1.136	25	SC	SC2	2
SC2-3	Control	I3	1	SC2-3_Control_I3	0.484	1.156	25	SC	SC2	3
SC2-3	Control	I3	2	SC2-3_Control_I3	0.454	1.187	25	SC	SC2	3
SC2-3	Control	I3	3	SC2-3_Control_I3	0.425	1.132	25	SC	SC2	3
SC2-4	Control	I3	1	SC2-4_Control_I3	0.425	1.091	25	SC	SC2	4
SC2-4	Control	I3	2	SC2-4_Control_I3	0.427	1.119	25	SC	SC2	4
SC2-4	Control	I3	3	SC2-4_Control_I3	0.458	1.102	25	SC	SC2	4
SC2-1	Treatment	I1	1	SC2-1_Treatment_I1	0.463	1.187	25	SC	SC2	1
SC2-1	Treatment	I1	2	SC2-1_Treatment_I1	0.471	1.134	25	SC	SC2	1
SC2-1	Treatment	I1	3	SC2-1_Treatment_I1	0.454	1.148	25	SC	SC2	1
SC2-2	Treatment	I1	1	SC2-2_Treatment_I1	0.473	1.232	25	SC	SC2	2
SC2-2	Treatment	I1	2	SC2-2_Treatment_I1	0.432	1.217	25	SC	SC2	2
SC2-2	Treatment	I1	3	SC2-2_Treatment_I1	0.482	1.226	25	SC	SC2	2
SC2-3	Treatment	I1	1	SC2-3_Treatment_I1	0.403	1.134	25	SC	SC2	3
SC2-3	Treatment	I1	2	SC2-3_Treatment_I1	0.423	1.173	25	SC	SC2	3
SC2-3	Treatment	I1	3	SC2-3_Treatment_I1	0.403	1.140	25	SC	SC2	3
SC2-4	Treatment	I1	1	SC2-4_Treatment_I1	0.392	1.151	25	SC	SC2	4
SC2-4	Treatment	I1	2	SC2-4_Treatment_I1	0.425	1.184	25	SC	SC2	4
SC2-4	Treatment	I1	3	SC2-4_Treatment_I1	0.406	1.192	25	SC	SC2	4
SC2-1	Treatment	I2	1	SC2-1_Treatment_I2	0.446	1.273	25	SC	SC2	1
SC2-1	Treatment	I2	2	SC2-1_Treatment_I2	0.432	1.199	25	SC	SC2	1
SC2-1	Treatment	I2	3	SC2-1_Treatment_I2	0.46	1.188	25	SC	SC2	1
SC2-2	Treatment	I2	1	SC2-2_Treatment_I2	0.44	1.199	25	SC	SC2	2
SC2-2	Treatment	I2	2	SC2-2_Treatment_I2	0.406	1.174	25	SC	SC2	2
SC2-2	Treatment	I2	3	SC2-2_Treatment_I2	0.423	1.075	25	SC	SC2	2
SC2-3	Treatment	I2	1	SC2-3_Treatment_I2	0.462	1.186	25	SC	SC2	3
SC2-3	Treatment	I2	2	SC2-3_Treatment_I2	0.451	1.198	25	SC	SC2	3
SC2-3	Treatment	I2	3	SC2-3_Treatment_I2	0.435	1.167	25	SC	SC2	3
SC2-4	Treatment	I2	1	SC2-4_Treatment_I2	0.403	1.172	25	SC	SC2	4
SC2-4	Treatment	I2	2	SC2-4_Treatment_I2	0.4175	1.170	25	SC	SC2	4
SC2-4	Treatment	I2	3	SC2-4_Treatment_I2	0.432	1.187	25	SC	SC2	4
SC2-1	Treatment	I3	1	SC2-1_Treatment_I3	0.4375	1.258	25	SC	SC2	1
SC2-1	Treatment	I3	2	SC2-1_Treatment_I3	0.412	1.134	25	SC	SC2	1
SC2-1	Treatment	I3	3	SC2-1_Treatment_I3	0.463	1.166	25	SC	SC2	1
SC2-2	Treatment	I3	1	SC2-2_Treatment_I3	0.412	1.160	25	SC	SC2	2
SC2-2	Treatment	I3	2	SC2-2_Treatment_I3	0.411	1.175	25	SC	SC2	2
SC2-2	Treatment	I3	3	SC2-2_Treatment_I3	0.409	1.181	25	SC	SC2	2
SC2-3	Treatment	I3	1	SC2-3_Treatment_I3	0.415	1.206	25	SC	SC2	3
SC2-3	Treatment	I3	2	SC2-3_Treatment_I3	0.461	1.198	25	SC	SC2	3
SC2-3	Treatment	I3	3	SC2-3_Treatment_I3	0.38	1.190	25	SC	SC2	3
SC2-4	Treatment	I3	1	SC2-4_Treatment_I3	0.455	1.155	25	SC	SC2	4
SC2-4	Treatment	I3	2	SC2-4_Treatment_I3	0.409	1.177	25	SC	SC2	4
SC2-4	Treatment	I3	3	SC2-4_Treatment_I3	0.496	1.205	25	SC	SC2	4
SC2	Ancestral	Ancestral	1	SC2_Ancestral	0.459	1.195	25	SC	SC2	Ancestral
SC2	Ancestral	Ancestral	2	SC2_Ancestral	0.452	1.135	25	SC	SC2	Ancestral
SC2	Ancestral	Ancestral	3	SC2_Ancestral	0.427	1.126	25	SC	SC2	Ancestral
SC2-1	Control	I1	1	SC2-1_Control_I1	0.582	1.184	28	SC	SC2	1
SC2-1	Control	I1	2	SC2-1_Control_I1	0.588	1.135	28	SC	SC2	1
SC2-1	Control	I1	3	SC2-1_Control_I1	0.577	1.149	28	SC	SC2	1
SC2-2	Control	I1	1	SC2-2_Control_I1	0.575	1.150	28	SC	SC2	2
SC2-2	Control	I1	2	SC2-2_Control_I1	0.596	1.150	28	SC	SC2	2
SC2-2	Control	I1	3	SC2-2_Control_I1	0.5855	1.172	28	SC	SC2	2
SC2-3	Control	I1	1	SC2-3_Control_I1	0.595	1.148	28	SC	SC2	3
SC2-3	Control	I1	2	SC2-3_Control_I1	0.569	1.167	28	SC	SC2	3
SC2-3	Control	I1	3	SC2-3_Control_I1	0.561	1.104	28	SC	SC2	3
SC2-4	Control	I1	1	SC2-4_Control_I1	0.539	1.099	28	SC	SC2	4
SC2-4	Control	I1	2	SC2-4_Control_I1	0.518	1.106	28	SC	SC2	4
SC2-4	Control	I1	3	SC2-4_Control_I1	0.5285	1.185	28	SC	SC2	4
SC2-1	Control	I2	1	SC2-1_Control_I2	0.675	1.174	28	SC	SC2	1
SC2-1	Control	I2	2	SC2-1_Control_I2	0.611	1.155	28	SC	SC2	1
SC2-1	Control	I2	3	SC2-1_Control_I2	0.657	1.112	28	SC	SC2	1
SC2-2	Control	I2	1	SC2-2_Control_I2	0.622	1.164	28	SC	SC2	2
SC2-2	Control	I2	2	SC2-2_Control_I2	0.59	1.168	28	SC	SC2	2
SC2-2	Control	I2	3	SC2-2_Control_I2	0.623	1.159	28	SC	SC2	2
SC2-3	Control	I2	1	SC2-3_Control_I2	0.54	1.148	28	SC	SC2	3
SC2-3	Control	I2	2	SC2-3_Control_I2	0.579	1.185	28	SC	SC2	3
SC2-3	Control	I2	3	SC2-3_Control_I2	0.547	1.172	28	SC	SC2	3
SC2-4	Control	I2	1	SC2-4_Control_I2	0.553	1.070	28	SC	SC2	4
SC2-4	Control	I2	2	SC2-4_Control_I2	0.512	1.071	28	SC	SC2	4
SC2-4	Control	I2	3	SC2-4_Control_I2	0.5325	1.182	28	SC	SC2	4
SC2-1	Control	I3	1	SC2-1_Control_I3	0.603	1.220	28	SC	SC2	1
SC2-1	Control	I3	2	SC2-1_Control_I3	0.584	1.155	28	SC	SC2	1
SC2-1	Control	I3	3	SC2-1_Control_I3	0.622	1.198	28	SC	SC2	1
SC2-2	Control	I3	1	SC2-2_Control_I3	0.661	1.193	28	SC	SC2	2
SC2-2	Control	I3	2	SC2-2_Control_I3	0.647	1.199	28	SC	SC2	2
SC2-2	Control	I3	3	SC2-2_Control_I3	0.686	1.206	28	SC	SC2	2
SC2-3	Control	I3	1	SC2-3_Control_I3	0.592	1.183	28	SC	SC2	3
SC2-3	Control	I3	2	SC2-3_Control_I3	0.545	1.132	28	SC	SC2	3
SC2-3	Control	I3	3	SC2-3_Control_I3	0.553	1.127	28	SC	SC2	3
SC2-4	Control	I3	1	SC2-4_Control_I3	0.543	1.098	28	SC	SC2	4
SC2-4	Control	I3	2	SC2-4_Control_I3	0.565	1.170	28	SC	SC2	4
SC2-4	Control	I3	3	SC2-4_Control_I3	0.543	1.124	28	SC	SC2	4
SC2-1	Treatment	I1	1	SC2-1_Treatment_I1	0.562	1.264	28	SC	SC2	1
SC2-1	Treatment	I1	2	SC2-1_Treatment_I1	0.547	1.139	28	SC	SC2	1
SC2-1	Treatment	I1	3	SC2-1_Treatment_I1	0.577	1.159	28	SC	SC2	1
SC2-2	Treatment	I1	1	SC2-2_Treatment_I1	0.514	1.198	28	SC	SC2	2
SC2-2	Treatment	I1	2	SC2-2_Treatment_I1	0.545	1.224	28	SC	SC2	2
SC2-2	Treatment	I1	3	SC2-2_Treatment_I1	0.5295	1.224	28	SC	SC2	2
SC2-3	Treatment	I1	1	SC2-3_Treatment_I1	0.546	1.173	28	SC	SC2	3
SC2-3	Treatment	I1	2	SC2-3_Treatment_I1	0.57	1.200	28	SC	SC2	3
SC2-3	Treatment	I1	3	SC2-3_Treatment_I1	0.517	1.129	28	SC	SC2	3
SC2-4	Treatment	I1	1	SC2-4_Treatment_I1	0.4885	1.171	28	SC	SC2	4
SC2-4	Treatment	I1	2	SC2-4_Treatment_I1	0.499	1.181	28	SC	SC2	4
SC2-4	Treatment	I1	3	SC2-4_Treatment_I1	0.478	1.148	28	SC	SC2	4
SC2-1	Treatment	I2	1	SC2-1_Treatment_I2	0.511	1.235	28	SC	SC2	1
SC2-1	Treatment	I2	2	SC2-1_Treatment_I2	0.477	1.149	28	SC	SC2	1
SC2-1	Treatment	I2	3	SC2-1_Treatment_I2	0.545	1.175	28	SC	SC2	1
SC2-2	Treatment	I2	1	SC2-2_Treatment_I2	0.551	1.174	28	SC	SC2	2
SC2-2	Treatment	I2	2	SC2-2_Treatment_I2	0.515	1.196	28	SC	SC2	2
SC2-2	Treatment	I2	3	SC2-2_Treatment_I2	0.589	1.183	28	SC	SC2	2
SC2-3	Treatment	I2	1	SC2-3_Treatment_I2	0.558	1.144	28	SC	SC2	3
SC2-3	Treatment	I2	2	SC2-3_Treatment_I2	0.579	1.126	28	SC	SC2	3
SC2-3	Treatment	I2	3	SC2-3_Treatment_I2	0.524	1.110	28	SC	SC2	3
SC2-4	Treatment	I2	1	SC2-4_Treatment_I2	0.512	1.165	28	SC	SC2	4
SC2-4	Treatment	I2	2	SC2-4_Treatment_I2	0.51	1.200	28	SC	SC2	4
SC2-4	Treatment	I2	3	SC2-4_Treatment_I2	0.514	1.144	28	SC	SC2	4
SC2-1	Treatment	I3	1	SC2-1_Treatment_I3	0.571	1.218	28	SC	SC2	1
SC2-1	Treatment	I3	2	SC2-1_Treatment_I3	0.576	1.178	28	SC	SC2	1
SC2-1	Treatment	I3	3	SC2-1_Treatment_I3	0.613	1.212	28	SC	SC2	1
SC2-2	Treatment	I3	1	SC2-2_Treatment_I3	0.54	1.202	28	SC	SC2	2
SC2-2	Treatment	I3	2	SC2-2_Treatment_I3	0.495	1.182	28	SC	SC2	2
SC2-2	Treatment	I3	3	SC2-2_Treatment_I3	0.535	1.169	28	SC	SC2	2
